time,x,y,z
21,2.2611,0.573,0.06036
24,2.2605,0.5724,0.05994000000000001
56,2.2611,0.5724,0.06081
66,2.2634999999999996,0.5732999999999999,0.06312
81,2.2632,0.573,0.06287999999999999
102,2.2632,0.5736,0.06294
116,2.2617000000000003,0.5732999999999999,0.06336
132,2.2614,0.573,0.06318
152,2.2622999999999998,0.5741999999999999,0.06447
163,2.265,0.5745,0.06786
180,2.2659,0.5736,0.07239
201,2.2656,0.5732999999999999,0.07254
214,2.2691999999999997,0.5700000000000001,0.08027999999999999
231,2.2743,0.5715,0.08337
249,2.2827,0.5727,0.08814
264,2.2874999999999996,0.5732999999999999,0.09176999999999999
281,2.2884,0.573,0.09294
300,2.2914000000000003,0.5751000000000001,0.09233999999999999
317,2.2944,0.5775,0.09392999999999999
331,2.2953,0.5775,0.09483
352,2.2926,0.5787,0.09129
365,2.2893,0.5796,0.08865
381,2.2862999999999998,0.5799,0.08679
399,2.2848,0.5801999999999999,0.08658
416,2.2851,0.5801999999999999,0.08679
432,2.2833,0.5814,0.08496000000000001
449,2.2824,0.5814,0.08274000000000001
465,2.2842,0.5820000000000001,0.0795
481,2.2845,0.5820000000000001,0.07938
503,2.2842,0.5820000000000001,0.07896
513,2.2842,0.5831999999999999,0.0798
532,2.2842,0.5831999999999999,0.07974
548,2.2848,0.5844,0.07839
564,2.2857000000000003,0.5859,0.07677
583,2.2815,0.5874,0.07566
599,2.2818,0.5877,0.07539
615,2.2782,0.5883,0.07335
635,2.2779,0.5889,0.07263
646,2.2779,0.5898,0.0708
663,2.2779,0.5901000000000001,0.07044
679,2.2773,0.5895,0.07122
696,2.2784999999999997,0.5895,0.07245
716,2.2805999999999997,0.5912999999999999,0.07473
731,2.2805999999999997,0.5915999999999999,0.07458000000000001
747,2.2818,0.5925,0.07488
765,2.2815,0.5931,0.07503
781,2.2815,0.5943,0.07539
804,2.2815,0.5946,0.0753
814,2.2839,0.5979,0.07596
830,2.2827,0.5967,0.07578
847,2.2821000000000002,0.5972999999999999,0.07638
864,2.2824,0.5975999999999999,0.07632
880,2.2821000000000002,0.5985,0.07599
903,2.2809,0.5985,0.07434
914,2.2779,0.5988,0.07203
931,2.2776,0.5994,0.07176
948,2.277,0.6006,0.07065
965,2.2755,0.6018,0.06909
982,2.2767,0.6003000000000001,0.07023
999,2.2767,0.6006,0.07010999999999999
1014,2.277,0.6012,0.07068
1030,2.2800000000000002,0.6027,0.07236
1046,2.2791,0.6015,0.07214999999999999
1065,2.2773,0.6015,0.06993
1083,2.2773,0.6006,0.07035
1096,2.2782,0.5994,0.07103999999999999
1113,2.2800000000000002,0.5988,0.0717
1129,2.2800000000000002,0.5991,0.07164
1148,2.2821000000000002,0.5988,0.07203
1163,2.2836,0.5979,0.07254
1180,2.2842,0.5964,0.07347000000000001
1197,2.2842,0.5967,0.07347000000000001
1213,2.2848,0.5955,0.07361999999999999
1230,2.2842,0.5952,0.07329
1247,2.2839,0.5955,0.07305
1263,2.2839,0.5955,0.07305
1280,2.2839,0.5955,0.07302
1298,2.2833,0.5964,0.07359
1314,2.2809,0.5967,0.0732
1331,2.2809,0.5967,0.0732
1352,2.2803,0.5972999999999999,0.07278
1364,2.2797,0.5982,0.07242000000000001
1381,2.2791,0.5982,0.07161
1399,2.2794,0.5985,0.07158
1414,2.2794,0.5988,0.07059
1431,2.2782,0.5988,0.06993
1448,2.2776,0.5988,0.06993
1465,2.2776,0.5988,0.06987
1481,2.2773,0.5991,0.06996
1501,2.2797,0.5988,0.0702
1514,2.2797,0.5991,0.07059
1532,2.2800000000000002,0.5994,0.07056
1548,2.2809,0.5985,0.07077
1563,2.2818,0.5979,0.07026
1580,2.2827,0.5975999999999999,0.07061999999999999
1597,2.2827,0.5979,0.07059
1619,2.2821000000000002,0.5985,0.07023
1630,2.2821000000000002,0.5994,0.07068
1644,2.2821000000000002,0.5988,0.07050000000000001
1653,2.2821000000000002,0.5988,0.07050000000000001
1671,2.2815,0.5991,0.07026
1685,2.2815,0.5991,0.07023
1703,2.2815,0.5997,0.0702
1721,2.2815,0.6009,0.06984
1734,2.2809,0.6018,0.06966
1750,2.2809,0.6018,0.0696
1766,2.2797,0.6021,0.06939000000000001
1783,2.2794,0.6021,0.07061999999999999
1801,2.2809,0.6033,0.07224
1817,2.2812,0.6033,0.07227
1835,2.2824,0.6035999999999999,0.07281
1855,2.2833,0.6027,0.07368
1870,2.283,0.6024,0.07311
1885,2.2833,0.6024,0.07314
1913,2.2848,0.6018,0.07469999999999999
1923,2.2862999999999998,0.6018,0.07599
1934,2.2884,0.603,0.07737
1950,2.2887,0.603,0.07758000000000001
1967,2.2881,0.6012,0.07893
1991,2.2881,0.6006,0.07875
1999,2.2887,0.6003000000000001,0.07881
2023,2.2887,0.6003000000000001,0.07854
2053,2.2881,0.6006,0.07791000000000001
2063,2.2881,0.6006,0.078
2079,2.2878,0.6006,0.07761
2096,2.2881,0.6006,0.07779
2114,2.2887,0.6003000000000001,0.07848
2129,2.2887,0.6006,0.07857
2147,2.289,0.6000000000000001,0.07875
2163,2.289,0.5997,0.07901999999999999
2179,2.2884,0.6000000000000001,0.07863
2195,2.2887,0.6000000000000001,0.07872
2212,2.2878,0.5988,0.07952999999999999
2231,2.2874999999999996,0.5991,0.07917
2246,2.2878,0.5991,0.07854
2263,2.2878,0.5991,0.07863
2279,2.2878,0.5994,0.07899
2301,2.2896,0.5988,0.0804
2312,2.2884,0.5985,0.08109
2330,2.2887,0.5985,0.08127
2347,2.2874999999999996,0.5991,0.07986
2365,2.2884,0.6003000000000001,0.0789
2381,2.2874999999999996,0.6009,0.07887
2396,2.2874999999999996,0.6009,0.07896
2416,2.2881,0.6003000000000001,0.07917
2432,2.2884,0.5988,0.07844999999999999
2448,2.289,0.5979,0.07779
2463,2.289,0.5979,0.07785
2480,2.289,0.5972999999999999,0.07806
2500,2.2881,0.5967,0.07755000000000001
2513,2.2878,0.5967,0.07728
2531,2.2878,0.5967,0.07731
2548,2.2881,0.597,0.07751999999999999
2566,2.2893,0.5964,0.07737
2585,2.2899,0.5964,0.07707
2598,2.2899,0.5964,0.0771
2614,2.2904999999999998,0.5967,0.07701
2637,2.2911,0.5967,0.07701
2648,2.2911,0.5961,0.07707
2665,2.2896,0.5967,0.07692
