time,hand,action_id,other_actions
20377,right,pick_20_2,"place_37_2,place_39_2"
21562,robot,pick_17_2,
25331,right,place_27_4,"pick_9_1,pick_8_1,pick_10_1,pick_12_1,pick_11_1,pick_13_1,pick_16_1,pick_20_2,pick_21_3,pick_14_1,pick_18_2,pick_15_1,pick_19_2,pick_23_3"
25331,right,pick_22_3,place_40_3
26544,robot,place_37_2,
27641,right,place_40_3,"pick_12_1,pick_10_1,pick_9_1,pick_11_1,pick_8_1,pick_13_1,pick_14_1,pick_15_1,pick_19_2,pick_18_2,pick_16_1"
31617,robot,pick_19_2,
37729,robot,place_17_2,
37894,left,pick_12_1,"place_42_1,place_41_1,place_43_1"
38617,left,place_41_1,"pick_4_0,pick_3_0,pick_7_0,pick_8_1,pick_10_1,pick_9_1,pick_5_0,pick_11_1,pick_13_1,pick_6_0,pick_14_1,pick_15_1"
44163,robot,pick_11_1,
44927,left,pick_7_0,place_44_0
49226,robot,place_42_1,
51682,right,pick_16_1,place_43_1
56826,right,place_46_1,"pick_9_1,pick_10_1,pick_13_1,pick_8_1,pick_14_1"
57216,robot,pick_9_1,
59394,right,pick_26_4,
61149,right,place_25_4,"pick_8_1,pick_10_1,pick_13_1,pick_17_2,pick_14_1,pick_18_2"
68226,right,pick_21_3,
68410,robot,place_43_1,
72469,right,place_48_3,"pick_17_2,pick_18_2"
77126,robot,pick_17_2,
82652,right,pick_31_5,
82747,robot,place_45_2,
88800,robot,pick_30_5,
94131,robot,place_52_5,
95562,right,place_52_5,pick_18_2
98995,robot,pick_27_4,
102734,right,pick_18_2,place_47_2
104022,robot,place_49_4,
111234,robot,pick_26_4,
116281,robot,place_51_4,
125207,robot,pick_52_5,
130153,robot,place_31_5,
131511,left,place_27_4,"pick_50_4,pick_53_5,pick_51_4"
135494,robot,pick_51_4,
140390,robot,place_26_4,
140753,left,pick_41_1,"place_12_1,place_11_1,place_9_1,place_16_1,place_15_1"
141405,left,place_11_1,"pick_53_5,pick_50_4"
145363,robot,pick_53_5,
150200,robot,place_30_5,
155797,robot,pick_46_1,
159131,left,place_41_1,"pick_41_1,pick_42_1,pick_44_0,pick_43_1"
160451,robot,place_16_1,
162292,left,pick_41_1,"place_12_1,place_9_1,place_15_1"
162793,left,place_12_1,pick_44_0
164976,left,pick_37_2,"place_17_2,place_18_2"
165498,robot,pick_44_0,
166425,left,place_43_1,pick_43_1
168829,left,pick_46_1,"place_11_1,place_13_1,place_15_1,place_10_1,place_9_1,place_12_1,place_8_1"
170698,robot,place_7_0,
170698,left,place_8_1,"pick_38_1,pick_40_3,pick_39_2"
176331,robot,pick_39_2,
183194,robot,place_17_2,
188188,robot,pick_12_1,
193378,robot,place_38_1,
193978,right,pick_21_3,place_40_3
194106,right,place_27_4,"pick_20_2,pick_22_3,pick_18_2,pick_19_2,pick_17_2,pick_23_3"
198190,robot,pick_19_2,
199969,right,pick_20_2,"place_39_2,place_37_2"
202894,robot,place_37_2,
203699,right,place_39_2,"pick_3_0,pick_8_1,pick_11_1,pick_5_0,pick_4_0,pick_10_1,pick_6_0,pick_7_0,pick_9_1,pick_13_1,pick_14_1,pick_15_1,pick_16_1"
205301,left,pick_11_1,"place_43_1,place_42_1,place_41_1"
207216,robot,pick_16_1,
211994,robot,place_42_1,
212733,left,place_16_1,"pick_5_0,pick_9_1,pick_7_0,pick_13_1,pick_6_0,pick_10_1,pick_8_1,pick_3_0,pick_4_0,pick_15_1,pick_16_1,pick_14_1"
217112,robot,pick_15_1,
222165,robot,place_43_1,
225230,left,pick_7_0,place_44_0
227200,robot,pick_6_0,
230095,right,pick_22_3,place_48_3
230284,right,place_27_4,"pick_18_2,pick_17_2,pick_23_3"
230638,robot,place_6_0,
237515,robot,pick_17_2,
239462,right,pick_18_2,"place_47_2,place_45_2"
242625,robot,place_45_2,
243593,right,place_47_2,"pick_30_5,pick_26_4,pick_28_5,pick_29_5,pick_31_5,pick_27_4,pick_25_4,pick_24_4"
245558,left,place_49_4,"pick_24_4,pick_28_5,pick_31_5,pick_26_4,pick_30_5,pick_25_4,pick_29_5"
247724,left,pick_26_4,"place_50_4,place_51_4"
247753,robot,pick_31_5,
252810,robot,place_52_5,
253659,left,place_50_4,"pick_29_5,pick_25_4,pick_24_4,pick_30_5,pick_28_5"
258348,robot,pick_25_4,
263825,robot,place_51_4,
267194,robot,pick_51_4,
271977,robot,place_27_4,
276512,robot,pick_50_4,
277349,right,pick_52_5,place_30_5
279462,right,place_30_5,"pick_48_3,pick_45_2,pick_46_1,pick_47_2"
281771,robot,place_26_4,
282727,left,pick_45_2,"place_20_2,place_19_2,place_17_2,place_18_2"
283744,left,place_20_2,"pick_46_1,pick_48_3,pick_47_2"
286198,left,pick_46_1,"place_10_1,place_12_1,place_11_1,place_16_1,place_15_1"
286941,left,place_10_1,"pick_48_3,pick_47_2"
287894,robot,pick_48_3,
288821,left,pick_41_1,"place_11_1,place_12_1,place_16_1,place_15_1"
289423,left,place_11_1,pick_47_2
291059,left,pick_42_1,"place_12_1,place_16_1,place_15_1"
291577,left,place_15_1,pick_47_2
293111,left,pick_38_1,"place_16_1,place_12_1"
293516,left,place_16_1,pick_47_2
294100,robot,place_21_3,
