time,x,y,z
10,0.8766,-0.2239,-0.04081
31,0.8765,-0.2239,-0.04077
84,0.8765,-0.2239,-0.04076
93,0.8766,-0.2239,-0.04063
106,0.8764,-0.224,-0.04068
123,0.8766,-0.224,-0.04074
138,0.8765,-0.224,-0.04072
155,0.8769,-0.224,-0.04047
173,0.877,-0.2242,-0.04051
188,0.8773,-0.2243,-0.04063
205,0.8774,-0.2243,-0.04097
221,0.8773,-0.2244,-0.04096
248,0.8776,-0.2243,-0.04123
255,0.8776,-0.2243,-0.04155
278,0.8777,-0.2242,-0.04139
288,0.8777,-0.2242,-0.04139
305,0.8777,-0.2241,-0.04133
322,0.878,-0.2241,-0.04162
341,0.8782,-0.2243,-0.04177
355,0.8782,-0.2243,-0.04179
371,0.8785,-0.2238,-0.0419
389,0.8785,-0.2235,-0.04207
405,0.8785,-0.2233,-0.04243
425,0.8785,-0.2233,-0.04247
439,0.8781,-0.2233,-0.04298
456,0.878,-0.2235,-0.04351
474,0.878,-0.2235,-0.04341
488,0.878,-0.2235,-0.04345
507,0.8779,-0.2234,-0.04339
521,0.8776,-0.2236,-0.04344
538,0.8775,-0.2235,-0.04336
554,0.8775,-0.2235,-0.0434
573,0.8772,-0.2235,-0.04345
591,0.8773,-0.2236,-0.04345
609,0.8773,-0.2237,-0.04362
627,0.8773,-0.2237,-0.04365
641,0.8772,-0.2238,-0.04361
656,0.8773,-0.2238,-0.04356
672,0.8772,-0.2237,-0.04353
688,0.8772,-0.2237,-0.04356
706,0.8774,-0.2236,-0.04335
721,0.8775,-0.2236,-0.04334
738,0.8775,-0.2236,-0.04336
755,0.8775,-0.2236,-0.04327
772,0.8775,-0.2237,-0.04304
788,0.8774,-0.2239,-0.04299
806,0.8776,-0.2238,-0.04287
822,0.8776,-0.2238,-0.04289
839,0.8776,-0.2237,-0.04289
857,0.8776,-0.2237,-0.0429
872,0.8776,-0.2237,-0.04291
887,0.8775,-0.2238,-0.04288
904,0.8775,-0.2238,-0.04286
920,0.8772,-0.2238,-0.0432
941,0.8767,-0.2239,-0.0433
956,0.8767,-0.2239,-0.04333
972,0.8768,-0.2239,-0.04321
989,0.8767,-0.224,-0.0432
1004,0.8767,-0.224,-0.04322
1021,0.8766,-0.2238,-0.04312
1039,0.8767,-0.2238,-0.04312
1054,0.8768,-0.2238,-0.04314
1073,0.8771,-0.2237,-0.04315
1088,0.8771,-0.2237,-0.04318
1105,0.8775,-0.2239,-0.04307
1122,0.8775,-0.224,-0.04306
1140,0.8776,-0.224,-0.04289
1155,0.8776,-0.224,-0.04291
1173,0.8776,-0.224,-0.04284
1190,0.8776,-0.2238,-0.0428
1204,0.8776,-0.2238,-0.04275
1221,0.8776,-0.2238,-0.04276
1240,0.8777,-0.2238,-0.0428
1255,0.8777,-0.2237,-0.04288
1272,0.8777,-0.2237,-0.04288
1288,0.8775,-0.2236,-0.04287
1305,0.8775,-0.2234,-0.04273
1321,0.8776,-0.2234,-0.04254
1338,0.8776,-0.2234,-0.04255
1355,0.8777,-0.2233,-0.04245
1374,0.8775,-0.2234,-0.04243
1389,0.8774,-0.2236,-0.04249
1405,0.8773,-0.2237,-0.04241
1422,0.8773,-0.2237,-0.04241
1440,0.8774,-0.2236,-0.04213
1456,0.8777,-0.2236,-0.04205
1474,0.8778,-0.2236,-0.04199
1487,0.8778,-0.2236,-0.04198
1505,0.8778,-0.2234,-0.04188
1524,0.8778,-0.2235,-0.04194
1539,0.8777,-0.2235,-0.04199
1559,0.8777,-0.2235,-0.04198
1571,0.8778,-0.2234,-0.04195
1596,0.8779,-0.2234,-0.04193
1605,0.8778,-0.2234,-0.04197
1621,0.8778,-0.2234,-0.04197
1638,0.8777,-0.2233,-0.04203
1655,0.8777,-0.2234,-0.04214
1673,0.8777,-0.2234,-0.04214
1688,0.8777,-0.2234,-0.04233
1706,0.8777,-0.2235,-0.0424
1723,0.8777,-0.2234,-0.0424
1739,0.8777,-0.2234,-0.0424
1755,0.8774,-0.2234,-0.04239
1772,0.8772,-0.2234,-0.04234
1790,0.8773,-0.2234,-0.04239
1805,0.8773,-0.2234,-0.04236
1824,0.8773,-0.2234,-0.04236
1841,0.8775,-0.2233,-0.0423
1856,0.8779,-0.2234,-0.04234
1873,0.8779,-0.2234,-0.04234
1890,0.8781,-0.2234,-0.04232
1904,0.878,-0.2234,-0.04234
1921,0.878,-0.2234,-0.04233
1937,0.878,-0.2234,-0.04233
1955,0.8777,-0.2234,-0.04239
1972,0.8774,-0.2233,-0.04238
1988,0.8774,-0.2231,-0.04238
