time,x,y,z
252,1.041,0.2239,-0.2163
501,1.052,0.2385,-0.2156
783,1.061,0.2473,-0.2105
999,1.072,0.2498,-0.2048
1231,0.9886,0.2303,-0.2904
1246,0.9878,0.2306,-0.2908
1264,0.9903,0.2314,-0.2927
1283,0.9903,0.2314,-0.2927
1298,0.9926,0.2267,-0.285
1315,0.9906,0.2272,-0.286
1333,0.9903,0.2256,-0.2875
1350,0.9902,0.2256,-0.2878
1379,0.9891,0.2237,-0.2913
1399,0.9916,0.2252,-0.2919
1416,0.9915,0.2252,-0.2921
1432,0.9908,0.2266,-0.289
1448,0.988,0.2274,-0.2843
1473,0.9878,0.2276,-0.2838
1482,0.9876,0.2277,-0.2837
1499,0.9873,0.2275,-0.2842
1511,0.9871,0.2275,-0.2838
1537,0.9871,0.2272,-0.2834
1556,0.987,0.2273,-0.2833
1578,0.988,0.2276,-0.2832
1602,0.988,0.2276,-0.2832
1797,0.9916,0.2264,-0.2859
1814,0.9902,0.2275,-0.2845
1832,0.9888,0.2289,-0.2836
1855,0.9885,0.23,-0.2838
1863,0.9885,0.23,-0.2838
1873,0.9892,0.2307,-0.2849
1884,0.9892,0.2307,-0.2849
1901,0.9894,0.2308,-0.2844
1919,0.9893,0.2309,-0.2839
1937,0.9895,0.2308,-0.2844
1948,0.9895,0.2308,-0.2844
2241,1.071,0.2417,-0.2181
2300,0.9878,0.2267,-0.2846
2316,0.9878,0.2291,-0.2859
2332,0.9884,0.2293,-0.2837
2349,0.9884,0.2293,-0.2837
2369,0.9919,0.229,-0.2825
2382,0.9928,0.2284,-0.2826
2402,0.9932,0.2283,-0.2827
2416,0.9932,0.2283,-0.2827
2433,0.9943,0.2293,-0.2835
2449,0.9957,0.2295,-0.2828
2466,0.9967,0.2317,-0.2814
2483,0.9969,0.2317,-0.2813
2501,0.9957,0.231,-0.281
2524,0.9943,0.23,-0.2822
2536,0.9925,0.2289,-0.2824
2551,0.9925,0.2288,-0.2823
2579,0.9931,0.2289,-0.2813
2602,0.9933,0.2292,-0.2815
2618,0.9934,0.2292,-0.2815
2636,0.9942,0.2303,-0.2821
2652,0.9947,0.2305,-0.2828
2670,0.993,0.2317,-0.2858
2686,0.993,0.2318,-0.2859
