time,x,y,z
55,-0.5373,0.03155,-0.03193
56,-0.5415,0.0394,-0.01833
79,-0.5477,0.04829,-0.002899
109,-0.5492,0.04963,0.0007143
118,-0.5534,0.05902,0.01305
136,-0.5565,0.06556,0.02142
155,-0.5582,0.06808,0.02605
173,-0.5571,0.07666,0.03167
189,-0.556,0.08436,0.03279
201,-0.5576,0.08959,0.03468
219,-0.5588,0.09325,0.03864
247,-0.5534,0.118,0.04713
270,-0.5496,0.1278,0.04609
283,-0.5495,0.1341,0.04988
301,-0.5476,0.1413,0.04705
318,-0.5474,0.1469,0.04702
336,-0.5441,0.1506,0.0481
352,-0.5438,0.1558,0.0503
367,-0.5421,0.1593,0.05401
387,-0.5379,0.1655,0.05703
404,-0.5366,0.167,0.05979
418,-0.5356,0.1718,0.06222
448,-0.537,0.176,0.06596
470,-0.5346,0.1788,0.06604
485,-0.5338,0.1827,0.06803
503,-0.531,0.1879,0.06811
518,-0.5272,0.1948,0.06622
536,-0.5232,0.1999,0.0649
553,-0.5215,0.2046,0.06629
569,-0.5195,0.206,0.06585
586,-0.5172,0.2057,0.06924
601,-0.5152,0.2061,0.07499
617,-0.5134,0.2096,0.07685
645,-0.5097,0.2139,0.08833
667,-0.5069,0.2141,0.09526
683,-0.5051,0.2171,0.09821
703,-0.5041,0.2185,0.1003
719,-0.5017,0.2215,0.1053
733,-0.4999,0.2242,0.1082
750,-0.4987,0.2268,0.1108
767,-0.4968,0.2289,0.1088
783,-0.4936,0.2363,0.1094
804,-0.4897,0.2449,0.1145
818,-0.4876,0.2487,0.1174
852,-0.483,0.2642,0.1279
868,-0.4814,0.2715,0.1281
884,-0.4793,0.2765,0.1312
903,-0.4802,0.2826,0.1283
916,-0.48,0.2896,0.1272
932,-0.4783,0.2949,0.1294
951,-0.4802,0.3004,0.1293
966,-0.4791,0.3054,0.1317
983,-0.477,0.3096,0.1342
1004,-0.477,0.3143,0.1364
1020,-0.4759,0.319,0.1383
1045,-0.4752,0.3291,0.1411
1071,-0.4772,0.3384,0.144
1088,-0.4755,0.3431,0.1445
1102,-0.4762,0.3487,0.1468
1117,-0.4743,0.3514,0.1488
1136,-0.4772,0.3582,0.1555
1151,-0.4767,0.3636,0.158
1170,-0.4805,0.3691,0.1622
1184,-0.4859,0.3738,0.1652
1204,-0.4904,0.3766,0.1697
1219,-0.4913,0.3819,0.1727
1246,-0.5011,0.3896,0.1814
1270,-0.5143,0.3873,0.1806
1284,-0.5171,0.3916,0.1835
1299,-0.5221,0.3891,0.1771
1316,-0.5243,0.3845,0.1719
1333,-0.527,0.3771,0.1686
1350,-0.5299,0.3787,0.1693
1371,-0.5282,0.3706,0.1661
1383,-0.5262,0.3627,0.1597
1400,-0.5281,0.3624,0.1593
1418,-0.5249,0.3539,0.1538
1448,-0.5225,0.3411,0.1479
1474,-0.5141,0.3196,0.1412
1485,-0.5141,0.3152,0.1392
1501,-0.5129,0.3104,0.1414
1519,-0.5093,0.3027,0.1422
1533,-0.5087,0.3033,0.1437
1550,-0.5082,0.2998,0.143
1568,-0.5053,0.2939,0.1431
1583,-0.5062,0.2875,0.1428
1600,-0.5066,0.2874,0.1435
1620,-0.5062,0.2841,0.1431
1646,-0.5074,0.2766,0.1428
1668,-0.5078,0.2785,0.1426
1685,-0.5076,0.2759,0.1423
1700,-0.5089,0.2774,0.1424
1716,-0.5088,0.2773,0.142
1733,-0.5087,0.2751,0.1417
1750,-0.5098,0.2745,0.1421
1770,-0.512,0.2714,0.1409
1785,-0.5124,0.2712,0.1396
1803,-0.5128,0.2708,0.1391
1818,-0.513,0.2691,0.1387
1844,-0.5139,0.2676,0.1386
1853,-0.5137,0.2706,0.1383
1867,-0.5139,0.2692,0.1379
1882,-0.5134,0.2695,0.1372
1917,-0.5112,0.2726,0.1347
1933,-0.5112,0.2717,0.1342
1950,-0.5093,0.274,0.1338
1966,-0.5073,0.2789,0.1363
1986,-0.505,0.2837,0.1381
2000,-0.5044,0.2864,0.1386
2017,-0.504,0.2866,0.1385
2042,-0.5004,0.2892,0.1386
2052,-0.5002,0.2907,0.1397
2066,-0.4996,0.2912,0.1397
2084,-0.4979,0.2927,0.1409
2100,-0.4966,0.297,0.1422
2116,-0.4956,0.2997,0.143
2135,-0.4928,0.3028,0.1455
2151,-0.4919,0.304,0.1459
2168,-0.489,0.3069,0.1486
2184,-0.4882,0.3087,0.1513
2201,-0.4877,0.3102,0.1536
2218,-0.4867,0.3116,0.1545
2246,-0.4861,0.3122,0.1553
2271,-0.486,0.3105,0.1569
2285,-0.4853,0.3113,0.1576
2299,-0.484,0.3109,0.1587
2320,-0.4828,0.3119,0.1599
2334,-0.4814,0.3131,0.1621
2351,-0.4806,0.314,0.163
2370,-0.4807,0.3136,0.1638
2384,-0.4805,0.3136,0.1658
2399,-0.4801,0.3134,0.1671
2417,-0.4793,0.3141,0.168
2443,-0.4786,0.3142,0.169
2466,-0.4793,0.3144,0.1691
2491,-0.4788,0.3148,0.1698
2501,-0.4792,0.3143,0.1698
2517,-0.4803,0.3141,0.1707
2534,-0.4807,0.3136,0.1709
2552,-0.4803,0.314,0.1717
2566,-0.4809,0.3141,0.1702
2583,-0.481,0.3132,0.1694
2603,-0.481,0.3122,0.1686
2619,-0.4807,0.3124,0.169
2643,-0.4811,0.3123,0.1682
2650,-0.4817,0.3115,0.1674
2669,-0.482,0.3115,0.1669
2682,-0.4819,0.3116,0.1671
2716,-0.4833,0.3121,0.1661
2735,-0.4841,0.3119,0.1657
2748,-0.4841,0.3121,0.166
2767,-0.4849,0.3112,0.166
2782,-0.4853,0.3107,0.1654
2800,-0.4858,0.3104,0.1644
2816,-0.4859,0.3104,0.1644
2845,-0.4871,0.3096,0.1626
2866,-0.4873,0.3093,0.1619
2883,-0.4874,0.3093,0.1618
2901,-0.4878,0.3095,0.1615
2919,-0.4876,0.3097,0.1615
2935,-0.4874,0.31,0.1615
2951,-0.4875,0.31,0.1615
2967,-0.4876,0.3103,0.1613
2983,-0.4878,0.3103,0.1613
2999,-0.488,0.3103,0.1612
3017,-0.488,0.3103,0.1611
3046,-0.4886,0.3104,0.1612
3073,-0.4893,0.3106,0.161
3083,-0.4894,0.3106,0.161
3104,-0.49,0.3106,0.1608
3119,-0.4905,0.3105,0.1611
3133,-0.4915,0.3106,0.1617
3149,-0.4918,0.3107,0.1616
3169,-0.4923,0.3113,0.162
3183,-0.4928,0.3114,0.1622
3199,-0.4924,0.3121,0.1621
3216,-0.4926,0.3121,0.1621
3232,-0.4922,0.3123,0.1615
3249,-0.4921,0.3123,0.1613
3268,-0.4922,0.3125,0.1612
3281,-0.4924,0.3126,0.1612
3300,-0.4927,0.3126,0.1617
3316,-0.4934,0.3128,0.1626
3334,-0.4935,0.3125,0.1632
3351,-0.4937,0.3126,0.1633
3368,-0.4934,0.3123,0.1631
3383,-0.4935,0.3124,0.1631
3402,-0.4934,0.3128,0.1631
3417,-0.4935,0.3129,0.1631
3452,-0.4935,0.3137,0.1626
3467,-0.4931,0.3135,0.1627
3483,-0.4932,0.3135,0.1627
3505,-0.493,0.3139,0.163
3518,-0.493,0.3138,0.1636
3533,-0.4931,0.3139,0.1636
3551,-0.493,0.3138,0.1639
3570,-0.4933,0.3141,0.1645
3584,-0.4936,0.3154,0.1659
3604,-0.4936,0.3155,0.1667
3623,-0.4937,0.3157,0.1668
3645,-0.4936,0.3177,0.168
3668,-0.4939,0.3196,0.1659
3686,-0.4941,0.32,0.166
3701,-0.4943,0.3216,0.1652
3718,-0.4943,0.3232,0.1646
3735,-0.494,0.3231,0.1643
3752,-0.4941,0.3235,0.1643
3770,-0.4938,0.3231,0.1642
3785,-0.4931,0.3236,0.1637
3801,-0.4923,0.3239,0.1632
3820,-0.4923,0.3242,0.1631
3845,-0.4914,0.3242,0.1631
3856,-0.4907,0.3235,0.1622
3870,-0.491,0.3235,0.1616
3885,-0.491,0.3237,0.1615
3918,-0.491,0.3243,0.1599
3934,-0.49,0.3238,0.1578
3957,-0.4898,0.3244,0.1572
3970,-0.4894,0.3234,0.1561
3984,-0.4898,0.3226,0.1555
4000,-0.4895,0.3212,0.1547
4020,-0.4894,0.3213,0.1543
4046,-0.4895,0.3195,0.1527
4072,-0.4898,0.3195,0.1524
4086,-0.4897,0.3185,0.1519
4103,-0.4896,0.318,0.1521
4123,-0.4894,0.3174,0.1515
4134,-0.4893,0.3173,0.1511
4150,-0.489,0.3171,0.1511
4167,-0.4884,0.3155,0.1508
4183,-0.4883,0.3144,0.1515
4203,-0.4882,0.3134,0.1523
4217,-0.4881,0.3131,0.152
4234,-0.4884,0.3127,0.1525
4258,-0.4884,0.3123,0.1528
4271,-0.4884,0.3122,0.1528
4285,-0.4883,0.312,0.1526
4301,-0.4883,0.3109,0.1532
4318,-0.4884,0.3105,0.1535
4338,-0.4883,0.3092,0.1535
4355,-0.4883,0.3088,0.1534
4367,-0.4889,0.3085,0.1533
4385,-0.4891,0.3083,0.1528
4402,-0.4894,0.3078,0.1523
4418,-0.4894,0.3075,0.1522
4448,-0.49,0.3057,0.1509
4470,-0.49,0.3062,0.151
4485,-0.49,0.3059,0.1509
4504,-0.4905,0.3059,0.1512
4521,-0.491,0.3064,0.1515
4535,-0.4913,0.3072,0.1521
4553,-0.4914,0.307,0.152
4569,-0.492,0.3085,0.1519
4586,-0.4928,0.3096,0.151
4605,-0.4931,0.3104,0.15
4619,-0.4933,0.3104,0.1498
4643,-0.4938,0.3105,0.1498
4670,-0.4937,0.3128,0.1498
4685,-0.4938,0.3129,0.1497
4703,-0.4942,0.3138,0.1493
4722,-0.4939,0.3143,0.1496
4733,-0.4941,0.3144,0.1495
4752,-0.4939,0.3151,0.1494
4768,-0.494,0.316,0.1498
4784,-0.4937,0.3165,0.1497
4806,-0.4934,0.3168,0.1494
4818,-0.4935,0.317,0.1493
4847,-0.4942,0.3172,0.1498
4867,-0.4943,0.3173,0.1497
4886,-0.4946,0.3177,0.1497
4904,-0.4951,0.3177,0.1497
4918,-0.4958,0.3181,0.1496
4933,-0.4959,0.3183,0.1495
4951,-0.4969,0.3195,0.1492
4969,-0.4981,0.3206,0.1492
4984,-0.4988,0.321,0.1492
5000,-0.5003,0.3224,0.1488
5018,-0.5006,0.3229,0.1486
5034,-0.502,0.3243,0.1482
5060,-0.5034,0.3262,0.1471
5069,-0.5041,0.3261,0.1471
5084,-0.5045,0.3266,0.1469
5102,-0.5049,0.3265,0.1471
5122,-0.5065,0.327,0.1473
5136,-0.5077,0.3274,0.1476
5151,-0.5083,0.3279,0.1474
5167,-0.5102,0.3289,0.1473
5184,-0.5109,0.3292,0.1468
5205,-0.5124,0.3301,0.1461
5220,-0.5131,0.3307,0.1459
5243,-0.5147,0.3321,0.1458
5256,-0.5156,0.3335,0.1459
5268,-0.5161,0.3341,0.1456
5286,-0.5168,0.3348,0.1454
5319,-0.5187,0.3358,0.1464
5336,-0.5197,0.3366,0.1476
5350,-0.5205,0.3377,0.1484
5370,-0.5202,0.3376,0.1485
5388,-0.5209,0.3379,0.1486
5400,-0.5215,0.3383,0.1484
5417,-0.522,0.3387,0.1484
5445,-0.5239,0.3397,0.149
5470,-0.5243,0.3401,0.1497
5483,-0.5242,0.3398,0.1491
5500,-0.5249,0.3402,0.148
5520,-0.5245,0.34,0.148
5535,-0.5243,0.3398,0.1481
5552,-0.5248,0.3402,0.148
5567,-0.5247,0.3407,0.1466
5590,-0.5248,0.3395,0.1459
5604,-0.5243,0.3391,0.1446
5617,-0.5248,0.3394,0.1443
5648,-0.525,0.3396,0.1442
5968,-0.5104,0.3264,0.1461
5986,-0.5104,0.3264,0.1459
6005,-0.5106,0.3263,0.146
6023,-0.5097,0.3236,0.1465
6047,-0.5081,0.3147,0.147
6068,-0.5063,0.3127,0.147
6085,-0.5051,0.3115,0.1449
6101,-0.5031,0.3091,0.144
6117,-0.5013,0.3065,0.1442
6141,-0.5005,0.3057,0.1444
6150,-0.4999,0.3049,0.1444
6171,-0.4974,0.3032,0.1449
6183,-0.4968,0.3027,0.1448
6200,-0.4979,0.3038,0.1449
6218,-0.4975,0.3033,0.1449
6236,-0.4975,0.3043,0.1449
6257,-0.4976,0.3046,0.1449
6270,-0.4978,0.3043,0.1443
6284,-0.4975,0.3039,0.1443
6300,-0.4978,0.304,0.144
6318,-0.4979,0.3042,0.1439
6334,-0.498,0.3043,0.1441
6350,-0.4978,0.304,0.1441
6368,-0.4982,0.3044,0.1437
6385,-0.4983,0.305,0.1443
6401,-0.4983,0.3054,0.1451
6422,-0.4981,0.3052,0.1451
6446,-0.498,0.3059,0.1467
6468,-0.4994,0.3122,0.148
6485,-0.4992,0.3124,0.1482
6501,-0.4995,0.3137,0.1491
6520,-0.4997,0.3154,0.148
6532,-0.4993,0.3168,0.1481
6550,-0.4991,0.3171,0.1483
