time,x,y,z
21,1.018,0.1417,-0.2134
26,1.017,0.1422,-0.2121
74,1.012,0.1425,-0.2117
80,1.007,0.1426,-0.2119
91,1.006,0.1437,-0.2124
104,1.005,0.1439,-0.2122
132,0.9984,0.1467,-0.2142
145,0.9949,0.147,-0.2146
155,0.9844,0.1475,-0.2156
171,0.9816,0.148,-0.2157
189,0.9754,0.146,-0.2177
205,0.9729,0.1458,-0.2181
220,0.9666,0.1469,-0.2185
238,0.9634,0.1472,-0.2188
255,0.9564,0.1453,-0.221
271,0.9523,0.1429,-0.2234
288,0.9458,0.141,-0.2257
307,0.9417,0.1408,-0.2266
321,0.9434,0.1415,-0.2265
338,0.938,0.1417,-0.2285
355,0.9329,0.1404,-0.2337
375,0.9294,0.1396,-0.2383
386,0.9256,0.1393,-0.24
403,0.9237,0.1378,-0.2447
419,0.9249,0.1369,-0.2495
437,0.9217,0.1365,-0.2517
453,0.926,0.1365,-0.2538
471,0.932,0.1368,-0.2552
496,0.937,0.1379,-0.2546
504,0.9359,0.1377,-0.2565
560,0.926,0.1365,-0.2538
822,0.9708,0.1686,-0.2071
835,0.9709,0.1688,-0.2052
860,0.9717,0.1726,-0.1937
878,0.9775,0.1738,-0.1749
890,0.9796,0.1765,-0.1561
910,0.9846,0.1768,-0.1425
920,0.9859,0.1775,-0.1366
936,0.992,0.1776,-0.124
954,0.9904,0.1776,-0.1108
971,0.9926,0.1806,-0.1012
990,0.9941,0.1814,-0.09361
1003,0.9942,0.1812,-0.08584
1021,0.9961,0.1832,-0.07597
1041,0.9963,0.1869,-0.06602
1063,0.9948,0.1899,-0.05678
1072,0.9956,0.1912,-0.0487
1085,0.9944,0.1921,-0.04598
1105,0.9934,0.1942,-0.03959
1121,0.9904,0.1957,-0.03307
1135,0.9904,0.1971,-0.02594
1153,0.9901,0.1987,-0.02298
1174,0.9905,0.1988,-0.02383
1185,0.9886,0.2001,-0.02168
1203,0.9885,0.2013,-0.01623
1222,0.9854,0.2031,-0.01349
1235,0.9853,0.2025,-0.01299
1253,0.9844,0.2043,-0.01145
1269,0.984,0.2053,-0.007267
1285,0.9816,0.2069,-0.005881
1302,0.9806,0.2079,-0.005128
1320,0.9782,0.2096,-0.004536
1336,0.9774,0.2107,-0.001261
1354,0.9752,0.2118,-0.0006335
1372,0.9731,0.2148,0.0008972
1388,0.9723,0.2151,0.001413
1403,0.9713,0.2162,0.003897
1420,0.969,0.2161,0.005129
1440,0.9677,0.2174,0.006513
1453,0.9674,0.218,0.007423
1470,0.9667,0.2173,0.008784
1485,0.9658,0.2181,0.01067
1502,0.9658,0.2182,0.0129
1519,0.9649,0.2187,0.01497
1536,0.9634,0.2192,0.01683
1556,0.9625,0.2199,0.01873
1571,0.9586,0.2206,0.0207
1585,0.9562,0.2206,0.02153
1604,0.9548,0.2213,0.02357
1619,0.9528,0.2214,0.02379
1636,0.9519,0.2223,0.02419
1653,0.9496,0.2244,0.02538
1680,0.9471,0.225,0.02548
1688,0.9455,0.2258,0.02712
1702,0.9426,0.2269,0.02633
1719,0.9399,0.2277,0.02477
1736,0.938,0.2286,0.02606
1753,0.9359,0.229,0.02495
1770,0.9346,0.2296,0.02385
1786,0.9322,0.2312,0.02277
1802,0.9299,0.2329,0.02144
1819,0.928,0.2339,0.02201
1836,0.9249,0.2342,0.01989
1855,0.9239,0.2337,0.01848
1876,0.9236,0.2336,0.0167
1888,0.922,0.2343,0.01675
1903,0.9211,0.2342,0.01595
1922,0.9197,0.2334,0.01407
1937,0.9209,0.2325,0.01335
1954,0.9209,0.2315,0.01301
1971,0.9197,0.2318,0.01283
1986,0.9201,0.231,0.01237
2003,0.9204,0.2295,0.01195
2018,0.9194,0.2296,0.01173
2036,0.9193,0.2282,0.01212
2055,0.9188,0.2263,0.01192
2069,0.9187,0.2244,0.0124
2084,0.9179,0.2241,0.01227
2103,0.9186,0.2225,0.01221
2118,0.9183,0.2218,0.01282
2139,0.9186,0.2216,0.01366
2154,0.9181,0.2213,0.01364
2179,0.9187,0.2217,0.01422
2190,0.9183,0.2218,0.01432
2203,0.9168,0.2217,0.01467
2228,0.9146,0.2215,0.01529
2237,0.914,0.2212,0.01536
2256,0.9097,0.221,0.01634
2271,0.904,0.2205,0.01798
2288,0.8996,0.2201,0.01961
2308,0.8978,0.2197,0.02003
2321,0.8921,0.2203,0.02256
2340,0.8897,0.2201,0.02383
2355,0.8878,0.22,0.02419
2372,0.8858,0.2198,0.02478
2387,0.8814,0.2197,0.02731
2409,0.8767,0.2199,0.0291
2422,0.8722,0.2193,0.02996
2441,0.8695,0.219,0.03084
2455,0.8645,0.2185,0.03254
2472,0.8589,0.2167,0.03341
2490,0.8561,0.2179,0.03331
2506,0.853,0.2176,0.03417
2521,0.8483,0.2182,0.03314
2540,0.8429,0.2182,0.03226
2555,0.8406,0.2186,0.03095
2572,0.8376,0.2188,0.02892
2588,0.8343,0.2187,0.02912
2610,0.8337,0.219,0.02653
2626,0.8315,0.2187,0.02373
2637,0.8285,0.2186,0.02346
2656,0.8283,0.2193,0.0215
2680,0.8275,0.2215,0.01655
2687,0.8278,0.2236,0.01294
2711,0.8303,0.224,0.01264
2724,0.8284,0.2243,0.01168
2740,0.8313,0.2231,0.01234
2754,0.8345,0.2224,0.01257
2773,0.8367,0.2225,0.01281
2788,0.836,0.2226,0.01224
2814,0.8383,0.2229,0.01262
2821,0.8399,0.2227,0.01294
2837,0.8412,0.2234,0.01325
2854,0.841,0.2235,0.01292
2873,0.8424,0.224,0.01315
2887,0.8427,0.2242,0.01302
2905,0.8427,0.2243,0.01297
2921,0.8426,0.2244,0.0128
2938,0.8428,0.2245,0.01278
2956,0.8431,0.225,0.01255
2971,0.8433,0.2252,0.01255
2990,0.8432,0.2253,0.01239
3005,0.8433,0.225,0.01268
3021,0.8432,0.2252,0.0125
3038,0.8436,0.2256,0.01209
3055,0.8436,0.2257,0.01194
3074,0.8435,0.2258,0.012
3088,0.8433,0.2256,0.01223
3106,0.8431,0.2256,0.01246
3121,0.843,0.2257,0.01235
3142,0.8423,0.2259,0.01263
3154,0.8404,0.2257,0.01379
3171,0.8377,0.2258,0.01637
3188,0.8374,0.2259,0.0164
3204,0.8344,0.2256,0.01827
3222,0.8322,0.2268,0.01877
3237,0.83,0.227,0.01875
3255,0.8275,0.2274,0.01891
3271,0.8266,0.2276,0.01907
3289,0.8225,0.2278,0.01931
3304,0.8218,0.2277,0.01881
3322,0.8212,0.2284,0.01815
3339,0.8203,0.2286,0.0182
3356,0.8199,0.2294,0.01681
3373,0.8204,0.2303,0.01647
3388,0.8211,0.2308,0.01566
3404,0.8205,0.2311,0.01557
3421,0.8214,0.2318,0.0145
3438,0.8227,0.2329,0.01246
3455,0.8244,0.2331,0.01285
3472,0.824,0.2335,0.01262
3488,0.8261,0.2344,0.012
3506,0.8278,0.2339,0.01153
3522,0.8287,0.2341,0.01099
3539,0.8287,0.2344,0.01072
3555,0.8289,0.234,0.01112
3572,0.8293,0.2338,0.01117
3587,0.8298,0.2335,0.0112
3607,0.8302,0.2333,0.01105
3622,0.8303,0.2335,0.01091
3638,0.8315,0.2341,0.01022
3660,0.8316,0.2341,0.0104
3683,0.8322,0.2334,0.01013
3688,0.8323,0.2335,0.009966
3704,0.8328,0.2327,0.009852
3720,0.8336,0.2321,0.009163
3738,0.8338,0.2322,0.00895
3757,0.8341,0.2319,0.009106
3772,0.8342,0.2313,0.00913
3789,0.8343,0.231,0.009307
3804,0.8344,0.231,0.009177
3823,0.8345,0.2307,0.009223
3838,0.8348,0.2302,0.008948
3854,0.8349,0.2299,0.008651
3873,0.8347,0.2296,0.008641
3889,0.8348,0.2296,0.008525
3903,0.8345,0.2294,0.00838
3919,0.8349,0.2291,0.008576
3940,0.8353,0.2289,0.009111
3955,0.8354,0.2289,0.009017
3971,0.8358,0.2285,0.009027
3991,0.8361,0.2285,0.008942
4005,0.8361,0.2288,0.009034
4021,0.8362,0.2287,0.008969
4039,0.8363,0.2288,0.008989
4054,0.8366,0.2292,0.008835
4071,0.8367,0.2292,0.008885
4088,0.8368,0.2292,0.008819
4105,0.8369,0.2293,0.008664
4121,0.837,0.2293,0.008755
4137,0.8369,0.2291,0.008709
4157,0.837,0.2291,0.008668
4173,0.8372,0.2289,0.008526
4188,0.8371,0.2288,0.008601
4210,0.8371,0.2284,0.008294
4221,0.8372,0.2284,0.008219
4238,0.8372,0.228,0.008551
4254,0.8371,0.2281,0.008623
4272,0.8371,0.2276,0.008535
4288,0.8372,0.2276,0.008474
