time,x,y,z
11,3.0269999999999997,-0.027258,-0.7308
26,3.021,-0.019632,-0.7221
73,3.021,-0.019653,-0.7221
119,2.9298,-0.03762,-0.8276999999999999
155,2.9193,-0.022775999999999998,-0.7542
171,2.9352,-0.022128,-0.7557
187,2.928,-0.018702,-0.7373999999999999
204,2.9091,-0.006684,-0.7107
220,2.8647,-0.008646000000000001,-0.6701999999999999
238,2.8602,-0.007677,-0.6657
255,2.8190999999999997,-0.006228000000000001,-0.6597000000000001
271,2.787,-0.0026169,-0.6732
286,2.7683999999999997,-0.009576,-0.6930000000000001
305,2.7567000000000004,-0.008871,-0.6918
321,2.7432,-0.011478,-0.7302
337,2.742,-0.012750000000000001,-0.7547999999999999
355,2.7456,-0.012861000000000001,-0.7533
373,2.7342,-0.012518999999999999,-0.7581
560,3.018,-0.019944,-0.807
822,2.8293,-0.00017289,-0.8052000000000001
835,2.8323,0.0008316,-0.8067
860,2.8296,0.0029445,-0.8115000000000001
877,2.8308,0.0029694000000000005,-0.8121
890,2.8323,0.0026441999999999998,-0.8115000000000001
906,2.8338,0.0021054000000000003,-0.8096999999999999
920,2.8341,0.0020388000000000003,-0.81
936,2.835,0.0007833,-0.8073
954,2.8389,-0.0012456,-0.8028
970,2.8389,-0.0012132,-0.8028
990,2.8389,-0.0013161,-0.8028
1039,2.8842,-0.022908,-0.7599
1061,2.8836000000000004,-0.021906000000000002,-0.7595999999999999
1491,3.393,-0.3552,-0.5378999999999999
1653,2.9085,-0.023592,-0.8166
1680,2.9076,-0.023238,-0.8175000000000001
2027,3.411,-0.3591,-0.522
2153,2.9061,-0.010782,-0.6564
2175,2.9162999999999997,-0.012204,-0.6066
2189,2.9375999999999998,-0.03723,-0.41250000000000003
2203,2.9415,-0.06684000000000001,-0.24717
2227,2.91,-0.09471,-0.14823
2236,2.9085,-0.10506000000000001,-0.09003
2254,2.9022,-0.14304,-0.027576000000000003
2271,2.8764,-0.18033,0.023226
2288,2.8461,-0.20595000000000002,0.06267
2305,2.8373999999999997,-0.22382999999999997,0.11571000000000001
2320,2.7927,-0.27759,0.15755999999999998
2337,2.7516,-0.3192,0.17139
2355,2.7072,-0.35309999999999997,0.17922
2371,2.6862,-0.37979999999999997,0.22053
2386,2.6445,-0.40769999999999995,0.21642
2408,2.6004,-0.43590000000000007,0.21042
2422,2.5602,-0.45539999999999997,0.19857
2437,2.5314,-0.4809,0.22166999999999998
2455,2.4989999999999997,-0.49319999999999997,0.20421
2472,2.4711,-0.5043,0.18477
2486,2.4476999999999998,-0.5148,0.16596
2505,2.4207,-0.5348999999999999,0.17376
2520,2.4051,-0.5427,0.13935
2538,2.4039,-0.5457000000000001,0.11274
2555,2.4078,-0.5457000000000001,0.08625000000000001
2572,2.3898,-0.5598,0.08202
2587,2.3964,-0.5489999999999999,0.06501
2610,2.4081,-0.5382,0.05091
2622,2.4177,-0.5283,0.02874
2637,2.4086999999999996,-0.5343,0.020819999999999998
2656,2.4243,-0.5292,0.015231
2676,2.4381,-0.5256,0.01653
2687,2.4486,-0.5223,0.026666999999999996
2711,2.4546,-0.5124,0.032189999999999996
2724,2.4531,-0.5139,0.029172
2738,2.4582,-0.507,0.033960000000000004
2754,2.4623999999999997,-0.5037,0.0378
2770,2.4642,-0.5006999999999999,0.03843
2787,2.4642,-0.5006999999999999,0.0372
2811,2.4659999999999997,-0.5025000000000001,0.03771
2820,2.4666,-0.5037,0.038130000000000004
2837,2.4669,-0.5034000000000001,0.03801
2853,2.4669,-0.5034000000000001,0.03744
2872,2.4669,-0.5034000000000001,0.037469999999999996
2887,2.4675000000000002,-0.504,0.036809999999999996
2904,2.4687,-0.5049,0.0354
2920,2.4687,-0.5049,0.034769999999999995
2937,2.4705,-0.5043,0.033030000000000004
2955,2.4702,-0.5034000000000001,0.0339
2970,2.472,-0.5015999999999999,0.03183
2987,2.4723,-0.5019,0.031110000000000002
3004,2.4744,-0.5004,0.029408999999999998
3021,2.4759,-0.4992,0.029372999999999996
3038,2.4753,-0.4992,0.03057
3055,2.4756,-0.4992,0.030059999999999996
3074,2.4756,-0.4989,0.030720000000000004
3087,2.4756,-0.4989,0.030720000000000004
3105,2.4759,-0.49859999999999993,0.030959999999999998
3120,2.4762,-0.49859999999999993,0.03057
3140,2.4762,-0.4977,0.03063
3154,2.4765,-0.498,0.03063
3171,2.4765,-0.49829999999999997,0.03102
3187,2.4765,-0.498,0.030720000000000004
3204,2.4756,-0.4974,0.0309
3220,2.4747,-0.4971,0.03087
3237,2.4749999999999996,-0.4977,0.030959999999999998
3254,2.4747,-0.49859999999999993,0.031380000000000005
3271,2.4749999999999996,-0.49859999999999993,0.031110000000000002
3288,2.4741,-0.4989,0.031920000000000004
3303,2.4741,-0.49950000000000006,0.03285
3322,2.4737999999999998,-0.49950000000000006,0.03318
3338,2.4741,-0.49950000000000006,0.033
3356,2.4737999999999998,-0.49950000000000006,0.03309
3373,2.4741,-0.49950000000000006,0.033269999999999994
3387,2.4737999999999998,-0.49950000000000006,0.03363
3404,2.4737999999999998,-0.49950000000000006,0.03351
3420,2.4732000000000003,-0.4992,0.03363
3438,2.4717,-0.49859999999999993,0.03306
3454,2.4705,-0.49829999999999997,0.032729999999999995
3471,2.4705,-0.49829999999999997,0.03246
3487,2.4696000000000002,-0.49829999999999997,0.03165
3505,2.4702,-0.4989,0.030329999999999996
3520,2.4693,-0.49859999999999993,0.030059999999999996
3538,2.4693,-0.49859999999999993,0.029768999999999997
3554,2.4696000000000002,-0.4977,0.029121
3571,2.4696000000000002,-0.4977,0.027657
3587,2.4693,-0.4974,0.026733
3606,2.4699,-0.4971,0.026577000000000003
3621,2.4699,-0.4971,0.026262
3637,2.4711,-0.4977,0.02502
3659,2.4717,-0.498,0.02403
3683,2.4729,-0.498,0.023774999999999998
3687,2.4732000000000003,-0.498,0.023319
3703,2.4747,-0.49829999999999997,0.02262
3720,2.4741,-0.4977,0.024156
3737,2.4741,-0.4977,0.02388
3754,2.4737999999999998,-0.4977,0.024881999999999998
3771,2.4732000000000003,-0.4977,0.025659
3788,2.4741,-0.4974,0.026151
3804,2.4744,-0.4974,0.025901999999999998
3823,2.4756,-0.4974,0.025766999999999998
3837,2.4765,-0.49650000000000005,0.026103
3854,2.4762,-0.4962,0.025992
3873,2.4783,-0.4962,0.025814999999999998
3887,2.4786,-0.4959,0.025523999999999998
3903,2.4813,-0.4968,0.025703999999999998
3919,2.4816000000000003,-0.4959,0.028082999999999997
