time,x,y,z
31,0.8641,0.1649,0.005215
34,0.864,0.165,0.00516
60,0.864,0.165,0.005137
78,0.864,0.165,0.005235
91,0.8641,0.1652,0.005397
102,0.8641,0.1653,0.005432
122,0.8641,0.1653,0.005551
136,0.8641,0.1653,0.005539
150,0.864,0.1653,0.005636
176,0.8641,0.1653,0.005616
187,0.864,0.1654,0.005828
208,0.8639,0.1654,0.005821
219,0.8639,0.1655,0.005865
235,0.8641,0.1657,0.006143
250,0.8642,0.1658,0.006287
268,0.8642,0.1658,0.006289
293,0.8648,0.1656,0.006908
303,0.8648,0.1656,0.006922
322,0.8649,0.1652,0.006896
335,0.8649,0.1652,0.006911
358,0.8651,0.1651,0.006888
370,0.8651,0.165,0.006677
385,0.8652,0.1651,0.006718
401,0.8656,0.1651,0.006864
419,0.8656,0.1651,0.006879
435,0.8656,0.165,0.006697
452,0.8658,0.1651,0.006465
472,0.8658,0.1651,0.006469
491,0.8659,0.165,0.006221
508,0.8658,0.1649,0.006158
518,0.8658,0.1647,0.00609
534,0.8658,0.1647,0.006085
550,0.8656,0.1646,0.006113
568,0.8655,0.1647,0.006028
584,0.8654,0.1646,0.005851
605,0.8654,0.1646,0.005837
618,0.8654,0.1646,0.0058
636,0.8655,0.1646,0.005869
652,0.8655,0.1646,0.00591
669,0.8655,0.1646,0.005904
691,0.8657,0.1647,0.005955
702,0.8656,0.1647,0.005901
723,0.8656,0.1646,0.005778
736,0.8656,0.1646,0.00577
750,0.8655,0.1645,0.005531
767,0.8654,0.1644,0.005495
785,0.8654,0.1643,0.005417
802,0.8654,0.1643,0.005397
818,0.8654,0.1639,0.005496
835,0.8657,0.1639,0.005713
853,0.8658,0.1638,0.005681
871,0.8658,0.1638,0.005668
893,0.8658,0.1639,0.00574
902,0.8658,0.1638,0.005736
919,0.8657,0.1639,0.005715
935,0.8656,0.1639,0.005708
952,0.8655,0.1638,0.005737
974,0.8656,0.164,0.005744
985,0.8654,0.1643,0.005508
1008,0.8654,0.1643,0.005495
1018,0.8649,0.1645,0.005668
1036,0.8648,0.1648,0.005684
1058,0.8646,0.1645,0.005747
1071,0.8646,0.1645,0.00574
1094,0.8647,0.1643,0.005862
1109,0.8647,0.1643,0.00586
1119,0.8647,0.1643,0.005784
1135,0.8647,0.1643,0.00578
1159,0.8648,0.1645,0.005767
1169,0.8647,0.1647,0.00575
1189,0.8647,0.1649,0.005763
1205,0.8646,0.1649,0.005821
1218,0.8646,0.1649,0.00582
1240,0.8646,0.1649,0.00575
1251,0.8647,0.1649,0.005693
1267,0.8647,0.1649,0.005688
1293,0.8649,0.1644,0.005211
