time,x,y,z
9546,0.7477,-0.007686,0.1318
9586,0.7558,-0.009247,0.1317
9602,0.761,-0.01098,0.1282
9617,0.7602,-0.01092,0.1271
9632,0.7755,-0.01613,0.1262
9652,0.8029,-0.02203,0.1223
9670,0.806,-0.02295,0.1208
9698,0.8444,-0.03053,0.1173
9714,0.8595,-0.03668,0.1106
9732,0.8714,-0.0442,0.107
9750,0.8795,-0.04671,0.1047
9766,0.8991,-0.06136,0.0971
9782,0.8932,-0.06131,0.09625
9799,0.8974,-0.06741,0.0904
9815,0.9045,-0.07086,0.08754
9833,0.908,-0.07725,0.0833
9848,0.9109,-0.08501,0.07807
9865,0.9135,-0.09243,0.07559
9882,0.9195,-0.09682,0.0725
9899,0.9217,-0.1028,0.06903
9917,0.9219,-0.1071,0.06597
9932,0.9222,-0.1108,0.06252
9948,0.9268,-0.1151,0.05949
9965,0.9269,-0.1182,0.05585
9980,0.9275,-0.121,0.05374
9998,0.9291,-0.1244,0.05208
10015,0.9287,-0.1298,0.04719
10031,0.9318,-0.1337,0.04425
10047,0.9319,-0.1364,0.04262
10229,0.9184,-0.139,0.04343
10252,0.9201,-0.1647,0.03491
10268,0.9192,-0.1769,0.03078
10284,0.9175,-0.1844,0.02772
10301,0.9173,-0.1894,0.02576
10318,0.9151,-0.1886,0.028
10333,0.9139,-0.1876,0.03007
10350,0.9086,-0.1917,0.02909
10372,0.9036,-0.1935,0.03104
10387,0.9025,-0.1963,0.03039
10404,0.9009,-0.195,0.03227
10419,0.8979,-0.1958,0.03392
10436,0.895,-0.1971,0.03453
10450,0.8936,-0.1996,0.03429
10466,0.8913,-0.1997,0.03544
10482,0.8886,-0.199,0.03678
10497,0.8869,-0.2012,0.03676
10515,0.8844,-0.2035,0.03823
10531,0.8825,-0.2036,0.03851
10548,0.8791,-0.2065,0.03806
10564,0.8772,-0.2085,0.03812
10584,0.8751,-0.2097,0.0376
10599,0.8756,-0.2091,0.03759
10864,1.095,0.03474,-0.1573
11090,1.082,0.06393,-0.1235
11313,1.123,0.1212,-0.2618
11364,0.8446,-0.2076,0.01056
11382,0.8449,-0.2073,0.01025
11397,0.845,-0.2068,0.01002
11415,0.8451,-0.2066,0.009809
11434,0.845,-0.2062,0.009859
11449,0.845,-0.2054,0.009808
11466,0.845,-0.2053,0.009787
11482,0.8446,-0.2046,0.009393
11498,0.8444,-0.2038,0.009669
11516,0.8444,-0.2041,0.009681
11533,0.8444,-0.204,0.009662
11548,0.8448,-0.2039,0.00966
11573,0.8451,-0.2037,0.009968
11590,0.8455,-0.2037,0.009682
11604,0.8455,-0.2036,0.009653
11621,0.8457,-0.2037,0.00976
11634,0.8457,-0.2036,0.00967
11648,0.8457,-0.2036,0.009651
11665,0.8457,-0.2034,0.00944
11681,0.8455,-0.2033,0.009489
11699,0.8455,-0.2033,0.009301
11714,0.8455,-0.2032,0.009275
11731,0.8454,-0.2028,0.009125
11748,0.8454,-0.2025,0.009114
11770,0.8453,-0.2027,0.008981
11782,0.8453,-0.2026,0.008952
11798,0.8454,-0.2027,0.008924
11817,0.8455,-0.2025,0.008728
11832,0.8457,-0.2026,0.008345
11850,0.8459,-0.2029,0.008108
11866,0.8459,-0.2028,0.008048
11882,0.846,-0.203,0.007815
11899,0.8463,-0.2033,0.007671
11918,0.8462,-0.2033,0.007866
