time,x,y,z
9546,0.8024,0.1226,0.06872
9587,0.8034,0.1233,0.06876
9602,0.8043,0.1235,0.06728
9617,0.8044,0.1233,0.06677
9632,0.8063,0.1245,0.06623
9656,0.8097,0.127,0.06485
9673,0.8101,0.127,0.06414
9699,0.8166,0.1335,0.06481
9715,0.8221,0.1385,0.06267
9732,0.8312,0.1431,0.06396
9751,0.8332,0.1442,0.06311
9766,0.8436,0.1503,0.06502
9783,0.8437,0.1502,0.06553
9800,0.8484,0.1534,0.06516
9816,0.851,0.1548,0.06455
9835,0.8548,0.1571,0.06346
9848,0.8604,0.1623,0.05946
9866,0.8618,0.1645,0.05577
9883,0.8645,0.1664,0.05449
9899,0.8664,0.1687,0.05111
9919,0.866,0.1707,0.04844
9932,0.866,0.1721,0.04603
9948,0.8681,0.1739,0.04437
9965,0.8694,0.1741,0.04507
9980,0.8696,0.1773,0.0436
9999,0.8688,0.1794,0.04218
10016,0.8678,0.1799,0.04262
10032,0.8691,0.1815,0.04135
10048,0.8686,0.1836,0.04351
10229,0.8592,0.1841,0.05334
10252,0.8523,0.2002,0.06009
10270,0.847,0.2087,0.06248
10284,0.8425,0.2148,0.0652
10301,0.8409,0.2184,0.06629
10320,0.8409,0.2202,0.06704
10334,0.8408,0.22,0.06684
10351,0.8385,0.2215,0.06804
10373,0.8378,0.2209,0.06767
10388,0.8369,0.2226,0.0682
10408,0.8363,0.2227,0.06746
10420,0.8362,0.2242,0.06705
10436,0.8358,0.2263,0.06906
10452,0.835,0.2279,0.06956
10468,0.8342,0.2322,0.06954
10482,0.8359,0.2331,0.0695
10501,0.8352,0.2351,0.07
10516,0.8348,0.237,0.06985
10531,0.8332,0.2421,0.07015
10548,0.8327,0.2474,0.07085
10564,0.8318,0.25,0.07136
10584,0.8303,0.2573,0.07116
10605,0.8273,0.2655,0.0706
10621,0.8249,0.2701,0.07121
10630,0.8234,0.2746,0.07235
10647,0.8221,0.2784,0.07285
10663,0.8173,0.2864,0.07694
10687,0.8138,0.2936,0.07974
10697,0.8094,0.2984,0.08156
10716,0.8074,0.3032,0.08264
10729,0.8035,0.3066,0.08428
10746,0.7949,0.3136,0.08479
10765,0.789,0.3181,0.08447
10780,0.7859,0.3231,0.08538
10798,0.7755,0.3268,0.084
10814,0.7673,0.3285,0.08379
10831,0.7545,0.3274,0.08269
10847,0.7491,0.3319,0.0831
10868,0.7398,0.328,0.08168
10883,0.7397,0.3234,0.07831
10898,0.7375,0.3204,0.0738
10917,0.733,0.3165,0.06882
10932,0.7283,0.318,0.06778
10953,0.7232,0.3107,0.06502
10972,0.7214,0.3074,0.06252
10986,0.7151,0.3036,0.05958
